Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Labeled Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
urine_synth_XOP_014	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_014	Labelling metabolites	labeled_synth_XOM_014	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_014	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_015	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_015	Labelling metabolites	labeled_synth_XOM_015	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_015	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_016	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_016	Labelling metabolites	labeled_synth_XOM_016	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_016	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_017	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_017	Labelling metabolites	labeled_synth_XOM_017	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_017	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_018	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_018	Labelling metabolites	labeled_synth_XOM_018	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_018	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_019	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_019	Labelling metabolites	labeled_synth_XOM_019	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_019	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_020	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_020	Labelling metabolites	labeled_synth_XOM_020	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_020	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_021	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_021	Labelling metabolites	labeled_synth_XOM_021	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_021	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_022	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_022	Labelling metabolites	labeled_synth_XOM_022	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_022	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_023	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_023	Labelling metabolites	labeled_synth_XOM_023	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_023	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_024	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_024	Labelling metabolites	labeled_synth_XOM_024	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_024	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_025	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_025	Labelling metabolites	labeled_synth_XOM_025	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_025	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_026	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_026	Labelling metabolites	labeled_synth_XOM_026	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_026	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_027	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_027	Labelling metabolites	labeled_synth_XOM_027	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_027	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_028	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_028	Labelling metabolites	labeled_synth_XOM_028	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_028	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_029	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_029	Labelling metabolites	labeled_synth_XOM_029	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_029	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_030	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_030	Labelling metabolites	labeled_synth_XOM_030	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_030	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_031	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_031	Labelling metabolites	labeled_synth_XOM_031	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_031	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_032	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_032	Labelling metabolites	labeled_synth_XOM_032	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_032	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_033	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_033	Labelling metabolites	labeled_synth_XOM_033	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_033	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_034	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_034	Labelling metabolites	labeled_synth_XOM_034	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_034	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_035	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_035	Labelling metabolites	labeled_synth_XOM_035	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_035	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_036	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_036	Labelling metabolites	labeled_synth_XOM_036	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_036	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_037	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_037	Labelling metabolites	labeled_synth_XOM_037	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_037	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_038	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_038	Labelling metabolites	labeled_synth_XOM_038	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_038	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_039	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_039	Labelling metabolites	labeled_synth_XOM_039	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_039	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_040	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_040	Labelling metabolites	labeled_synth_XOM_040	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_040	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_041	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_041	Labelling metabolites	labeled_synth_XOM_041	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_041	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
