Sample Name	Protocol REF	Extract Name	Protocol REF
buccal_mucosa_synth_XOP_030	DNA extraction	buccal_DNA_synth_XOE_030	methylation profiling
buccal_mucosa_synth_XOP_031	DNA extraction	buccal_DNA_synth_XOE_031	methylation profiling
buccal_mucosa_synth_XOP_032	DNA extraction	buccal_DNA_synth_XOE_032	methylation profiling
buccal_mucosa_synth_XOP_033	DNA extraction	buccal_DNA_synth_XOE_033	methylation profiling
buccal_mucosa_synth_XOP_034	DNA extraction	buccal_DNA_synth_XOE_034	methylation profiling
buccal_mucosa_synth_XOP_035	DNA extraction	buccal_DNA_synth_XOE_035	methylation profiling
buccal_mucosa_synth_XOP_036	DNA extraction	buccal_DNA_synth_XOE_036	methylation profiling
buccal_mucosa_synth_XOP_037	DNA extraction	buccal_DNA_synth_XOE_037	methylation profiling
buccal_mucosa_synth_XOP_038	DNA extraction	buccal_DNA_synth_XOE_038	methylation profiling
buccal_mucosa_synth_XOP_039	DNA extraction	buccal_DNA_synth_XOE_039	methylation profiling
buccal_mucosa_synth_XOP_040	DNA extraction	buccal_DNA_synth_XOE_040	methylation profiling
buccal_mucosa_synth_XOP_041	DNA extraction	buccal_DNA_synth_XOE_041	methylation profiling
buccal_mucosa_synth_XOP_042	DNA extraction	buccal_DNA_synth_XOE_042	methylation profiling
buccal_mucosa_synth_XOP_043	DNA extraction	buccal_DNA_synth_XOE_043	methylation profiling
buccal_mucosa_synth_XOP_044	DNA extraction	buccal_DNA_synth_XOE_044	methylation profiling
buccal_mucosa_synth_XOP_045	DNA extraction	buccal_DNA_synth_XOE_045	methylation profiling
buccal_mucosa_synth_XOP_046	DNA extraction	buccal_DNA_synth_XOE_046	methylation profiling
buccal_mucosa_synth_XOP_047	DNA extraction	buccal_DNA_synth_XOE_047	methylation profiling
buccal_mucosa_synth_XOP_048	DNA extraction	buccal_DNA_synth_XOE_048	methylation profiling
buccal_mucosa_synth_XOP_049	DNA extraction	buccal_DNA_synth_XOE_049	methylation profiling
buccal_mucosa_synth_XOP_050	DNA extraction	buccal_DNA_synth_XOE_050	methylation profiling
buccal_mucosa_synth_XOP_051	DNA extraction	buccal_DNA_synth_XOE_051	methylation profiling
buccal_mucosa_synth_XOP_052	DNA extraction	buccal_DNA_synth_XOE_052	methylation profiling
buccal_mucosa_synth_XOP_053	DNA extraction	buccal_DNA_synth_XOE_053	methylation profiling
buccal_mucosa_synth_XOP_054	DNA extraction	buccal_DNA_synth_XOE_054	methylation profiling
buccal_mucosa_synth_XOP_055	DNA extraction	buccal_DNA_synth_XOE_055	methylation profiling
buccal_mucosa_synth_XOP_056	DNA extraction	buccal_DNA_synth_XOE_056	methylation profiling
buccal_mucosa_synth_XOP_057	DNA extraction	buccal_DNA_synth_XOE_057	methylation profiling
buccal_mucosa_synth_XOP_058	DNA extraction	buccal_DNA_synth_XOE_058	methylation profiling
buccal_mucosa_synth_XOP_059	DNA extraction	buccal_DNA_synth_XOE_059	methylation profiling
buccal_mucosa_synth_XOP_060	DNA extraction	buccal_DNA_synth_XOE_060	methylation profiling
buccal_mucosa_synth_XOP_061	DNA extraction	buccal_DNA_synth_XOE_061	methylation profiling
buccal_mucosa_synth_XOP_062	DNA extraction	buccal_DNA_synth_XOE_062	methylation profiling
buccal_mucosa_synth_XOP_063	DNA extraction	buccal_DNA_synth_XOE_063	methylation profiling
buccal_mucosa_synth_XOP_064	DNA extraction	buccal_DNA_synth_XOE_064	methylation profiling
buccal_mucosa_synth_XOP_065	DNA extraction	buccal_DNA_synth_XOE_065	methylation profiling
buccal_mucosa_synth_XOP_066	DNA extraction	buccal_DNA_synth_XOE_066	methylation profiling
buccal_mucosa_synth_XOP_067	DNA extraction	buccal_DNA_synth_XOE_067	methylation profiling
buccal_mucosa_synth_XOP_068	DNA extraction	buccal_DNA_synth_XOE_068	methylation profiling
buccal_mucosa_synth_XOP_069	DNA extraction	buccal_DNA_synth_XOE_069	methylation profiling
buccal_mucosa_synth_XOP_070	DNA extraction	buccal_DNA_synth_XOE_070	methylation profiling
buccal_mucosa_synth_XOP_071	DNA extraction	buccal_DNA_synth_XOE_071	methylation profiling
buccal_mucosa_synth_XOP_072	DNA extraction	buccal_DNA_synth_XOE_072	methylation profiling
buccal_mucosa_synth_XOP_073	DNA extraction	buccal_DNA_synth_XOE_073	methylation profiling
buccal_mucosa_synth_XOP_074	DNA extraction	buccal_DNA_synth_XOE_074	methylation profiling
buccal_mucosa_synth_XOP_075	DNA extraction	buccal_DNA_synth_XOE_075	methylation profiling
buccal_mucosa_synth_XOP_076	DNA extraction	buccal_DNA_synth_XOE_076	methylation profiling
buccal_mucosa_synth_XOP_077	DNA extraction	buccal_DNA_synth_XOE_077	methylation profiling
buccal_mucosa_synth_XOP_078	DNA extraction	buccal_DNA_synth_XOE_078	methylation profiling
buccal_mucosa_synth_XOP_079	DNA extraction	buccal_DNA_synth_XOE_079	methylation profiling
buccal_mucosa_synth_XOP_080	DNA extraction	buccal_DNA_synth_XOE_080	methylation profiling
buccal_mucosa_synth_XOP_081	DNA extraction	buccal_DNA_synth_XOE_081	methylation profiling
buccal_mucosa_synth_XOP_082	DNA extraction	buccal_DNA_synth_XOE_082	methylation profiling
buccal_mucosa_synth_XOP_083	DNA extraction	buccal_DNA_synth_XOE_083	methylation profiling
buccal_mucosa_synth_XOP_084	DNA extraction	buccal_DNA_synth_XOE_084	methylation profiling
buccal_mucosa_synth_XOP_085	DNA extraction	buccal_DNA_synth_XOE_085	methylation profiling
buccal_mucosa_synth_XOP_086	DNA extraction	buccal_DNA_synth_XOE_086	methylation profiling
buccal_mucosa_synth_XOP_087	DNA extraction	buccal_DNA_synth_XOE_087	methylation profiling
buccal_mucosa_synth_XOP_088	DNA extraction	buccal_DNA_synth_XOE_088	methylation profiling
buccal_mucosa_synth_XOP_089	DNA extraction	buccal_DNA_synth_XOE_089	methylation profiling
buccal_mucosa_synth_XOP_090	DNA extraction	buccal_DNA_synth_XOE_090	methylation profiling
buccal_mucosa_synth_XOP_091	DNA extraction	buccal_DNA_synth_XOE_091	methylation profiling
buccal_mucosa_synth_XOP_092	DNA extraction	buccal_DNA_synth_XOE_092	methylation profiling
buccal_mucosa_synth_XOP_093	DNA extraction	buccal_DNA_synth_XOE_093	methylation profiling
buccal_mucosa_synth_XOP_094	DNA extraction	buccal_DNA_synth_XOE_094	methylation profiling
buccal_mucosa_synth_XOP_095	DNA extraction	buccal_DNA_synth_XOE_095	methylation profiling
buccal_mucosa_synth_XOP_096	DNA extraction	buccal_DNA_synth_XOE_096	methylation profiling
buccal_mucosa_synth_XOP_097	DNA extraction	buccal_DNA_synth_XOE_097	methylation profiling
buccal_mucosa_synth_XOP_098	DNA extraction	buccal_DNA_synth_XOE_098	methylation profiling
buccal_mucosa_synth_XOP_099	DNA extraction	buccal_DNA_synth_XOE_099	methylation profiling
buccal_mucosa_synth_XOP_100	DNA extraction	buccal_DNA_synth_XOE_100	methylation profiling
