Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[family ID]	Protocol REF	Parameter Value[anatomical entity]	Sample Name	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[sample type]	Term Source REF	Term Accession Number
synth_XOP_012	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_012	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_012						
synth_XOP_013	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_013	sample collection	urine	urine_synth_XOP_013	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_013	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_013	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_013						
synth_XOP_014	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_014	sample collection	urine	urine_synth_XOP_014	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_014	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_014	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_014						
synth_XOP_015	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_015	sample collection	urine	urine_synth_XOP_015	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_015	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_015	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_015						
synth_XOP_016	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_016	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_016						
synth_XOP_016	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_016	sample collection	urine	urine_synth_XOP_016	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_017	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_017	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_017						
synth_XOP_017	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_017	sample collection	urine	urine_synth_XOP_017	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_018	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_018	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_018						
synth_XOP_018	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_018	sample collection	urine	urine_synth_XOP_018	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_019	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_019	sample collection	urine	urine_synth_XOP_019	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_019	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_019	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_019						
synth_XOP_020	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_020	sample collection	urine	urine_synth_XOP_020	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_020	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_020	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_020						
synth_XOP_021	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_021	sample collection	urine	urine_synth_XOP_021	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_021	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_021	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_021						
synth_XOP_022	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_022	sample collection	urine	urine_synth_XOP_022	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_022	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_022	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_022						
synth_XOP_023	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_023	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_023						
synth_XOP_023	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_023	sample collection	urine	urine_synth_XOP_023	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_024	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_024	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_024						
synth_XOP_024	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_024	sample collection	urine	urine_synth_XOP_024	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_025	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_025	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_025						
synth_XOP_025	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_025	sample collection	urine	urine_synth_XOP_025	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_026	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_026	sample collection	urine	urine_synth_XOP_026	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_026	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_026	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_026						
synth_XOP_027	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_027	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_027						
synth_XOP_027	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_027	sample collection	urine	urine_synth_XOP_027	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_028	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_028	sample collection	urine	urine_synth_XOP_028	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_028	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_028	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_028						
synth_XOP_029	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_029	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_029						
synth_XOP_029	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_029	sample collection	urine	urine_synth_XOP_029	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_030	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_030	sample collection	urine	urine_synth_XOP_030	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_030	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_030	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_030						
synth_XOP_031	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_031	sample collection	urine	urine_synth_XOP_031	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_031	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_031	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_031						
synth_XOP_032	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_032	sample collection	urine	urine_synth_XOP_032	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_032	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_032	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_032						
synth_XOP_033	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_033	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_033						
synth_XOP_033	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_033	sample collection	urine	urine_synth_XOP_033	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_034	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_034	sample collection	urine	urine_synth_XOP_034	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_034	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_034	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_034						
synth_XOP_035	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_035	sample collection	urine	urine_synth_XOP_035	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_035	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_035	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_035						
synth_XOP_036	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_036	sample collection	urine	urine_synth_XOP_036	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_036	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_036	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_036						
synth_XOP_037	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_037	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_037						
synth_XOP_037	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_037	sample collection	urine	urine_synth_XOP_037	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_038	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_038	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_038						
synth_XOP_038	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_038	sample collection	urine	urine_synth_XOP_038	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_039	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_039	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_039						
synth_XOP_039	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_039	sample collection	urine	urine_synth_XOP_039	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_040	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_040	sample collection	urine	urine_synth_XOP_040	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_040	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_040	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_040						
synth_XOP_041	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_041	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_041						
synth_XOP_041	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_041	sample collection	urine	urine_synth_XOP_041	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_042	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_042	sample collection	urine	urine_synth_XOP_042	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_042	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_042	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_042						
synth_XOP_043	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_043	sample collection	urine	urine_synth_XOP_043	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_043	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_043	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_043						
synth_XOP_044	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_044	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_044						
synth_XOP_044	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_044	sample collection	urine	urine_synth_XOP_044	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_045	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_045	sample collection	urine	urine_synth_XOP_045	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_045	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_045	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_045						
synth_XOP_046	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_046	sample collection	urine	urine_synth_XOP_046	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_046	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_046	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_046						
synth_XOP_047	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_047	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_047						
synth_XOP_047	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_047	sample collection	urine	urine_synth_XOP_047	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_048	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_048	sample collection	urine	urine_synth_XOP_048	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_048	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_048	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_048						
synth_XOP_049	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_049	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_049						
synth_XOP_049	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_049	sample collection	urine	urine_synth_XOP_049	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_050	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_050	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_050						
synth_XOP_050	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_050	sample collection	urine	urine_synth_XOP_050	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_051	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_051	sample collection	urine	urine_synth_XOP_051	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_051	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_051	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_051						
synth_XOP_052	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_052	sample collection	urine	urine_synth_XOP_052	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_052	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_052	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_052						
synth_XOP_053	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_053	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_053						
synth_XOP_053	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_053	sample collection	urine	urine_synth_XOP_053	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_054	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_054	sample collection	urine	urine_synth_XOP_054	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_054	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_054	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_054						
synth_XOP_055	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_055	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_055						
synth_XOP_055	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_055	sample collection	urine	urine_synth_XOP_055	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_056	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_056	sample collection	urine	urine_synth_XOP_056	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_056	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_056	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_056						
synth_XOP_057	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_057	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_057						
