Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Labeled Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
urine_XOP19	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM19	Labelling metabolites	labeled_XOM19	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM19	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP2	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM2	Labelling metabolites	labeled_XOM2	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM2	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP20	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM20	Labelling metabolites	labeled_XOM20	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM20	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP21	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM21	Labelling metabolites	labeled_XOM21	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM21	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP22	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM22	Labelling metabolites	labeled_XOM22	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM22	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP23	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM23	Labelling metabolites	labeled_XOM23	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM23	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP24	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM24	Labelling metabolites	labeled_XOM24	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM24	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP25	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM25	Labelling metabolites	labeled_XOM25	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM25	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP26	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM26	Labelling metabolites	labeled_XOM26	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM26	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP27	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM27	Labelling metabolites	labeled_XOM27	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM27	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP28	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM28	Labelling metabolites	labeled_XOM28	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM28	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP29	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM29	Labelling metabolites	labeled_XOM29	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM29	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP3	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM3	Labelling metabolites	labeled_XOM3	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM3	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP30	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM30	Labelling metabolites	labeled_XOM30	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM30	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP31	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM31	Labelling metabolites	labeled_XOM31	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM31	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP32	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM32	Labelling metabolites	labeled_XOM32	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM32	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP33	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM33	Labelling metabolites	labeled_XOM33	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM33	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP34	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM34	Labelling metabolites	labeled_XOM34	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM34	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP35	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM35	Labelling metabolites	labeled_XOM35	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM35	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP36	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM36	Labelling metabolites	labeled_XOM36	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM36	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP37	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM37	Labelling metabolites	labeled_XOM37	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM37	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP38	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM38	Labelling metabolites	labeled_XOM38	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM38	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP39	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM39	Labelling metabolites	labeled_XOM39	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM39	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP4	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM4	Labelling metabolites	labeled_XOM4	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM4	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP40	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM40	Labelling metabolites	labeled_XOM40	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM40	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP41	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM41	Labelling metabolites	labeled_XOM41	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM41	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP42	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM42	Labelling metabolites	labeled_XOM42	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM42	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP43	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM43	Labelling metabolites	labeled_XOM43	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM43	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP44	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM44	Labelling metabolites	labeled_XOM44	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM44	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP45	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM45	Labelling metabolites	labeled_XOM45	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM45	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP46	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM46	Labelling metabolites	labeled_XOM46	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM46	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP47	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM47	Labelling metabolites	labeled_XOM47	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM47	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP48	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM48	Labelling metabolites	labeled_XOM48	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM48	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP49	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM49	Labelling metabolites	labeled_XOM49	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM49	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP5	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM5	Labelling metabolites	labeled_XOM5	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM5	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP50	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM50	Labelling metabolites	labeled_XOM50	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM50	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP51	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM51	Labelling metabolites	labeled_XOM51	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM51	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP52	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM52	Labelling metabolites	labeled_XOM52	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM52	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP53	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM53	Labelling metabolites	labeled_XOM53	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM53	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_XOP54	Extraction	1 uL borate buffer (pH 8.8) with AQC reagent	AQC	extract_XOM54	Labelling metabolites	labeled_XOM54	Chromatography	Agilent 1290 Infinity II	Accq-Tag Ultra column (waters + FURHTER SPECS?)	reverse phase	Mass spectrometry	positive	5-2000?	AB SCIEX Qtrap 6500	ESI	triple quadrupole linear ion trap	mass_spectrometry_XOM54	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
