Sample Name	Protocol REF	Extract Name	Protocol REF
buccal_mucosa_synth_XOP_029	DNA extraction	buccal_DNA_synth_XOG_029	genotype profiling
buccal_mucosa_synth_XOP_030	DNA extraction	buccal_DNA_synth_XOG_030	genotype profiling
buccal_mucosa_synth_XOP_031	DNA extraction	buccal_DNA_synth_XOG_031	genotype profiling
buccal_mucosa_synth_XOP_032	DNA extraction	buccal_DNA_synth_XOG_032	genotype profiling
buccal_mucosa_synth_XOP_033	DNA extraction	buccal_DNA_synth_XOG_033	genotype profiling
buccal_mucosa_synth_XOP_034	DNA extraction	buccal_DNA_synth_XOG_034	genotype profiling
buccal_mucosa_synth_XOP_035	DNA extraction	buccal_DNA_synth_XOG_035	genotype profiling
buccal_mucosa_synth_XOP_036	DNA extraction	buccal_DNA_synth_XOG_036	genotype profiling
buccal_mucosa_synth_XOP_037	DNA extraction	buccal_DNA_synth_XOG_037	genotype profiling
buccal_mucosa_synth_XOP_038	DNA extraction	buccal_DNA_synth_XOG_038	genotype profiling
buccal_mucosa_synth_XOP_039	DNA extraction	buccal_DNA_synth_XOG_039	genotype profiling
buccal_mucosa_synth_XOP_040	DNA extraction	buccal_DNA_synth_XOG_040	genotype profiling
buccal_mucosa_synth_XOP_041	DNA extraction	buccal_DNA_synth_XOG_041	genotype profiling
buccal_mucosa_synth_XOP_042	DNA extraction	buccal_DNA_synth_XOG_042	genotype profiling
buccal_mucosa_synth_XOP_043	DNA extraction	buccal_DNA_synth_XOG_043	genotype profiling
buccal_mucosa_synth_XOP_044	DNA extraction	buccal_DNA_synth_XOG_044	genotype profiling
buccal_mucosa_synth_XOP_045	DNA extraction	buccal_DNA_synth_XOG_045	genotype profiling
buccal_mucosa_synth_XOP_046	DNA extraction	buccal_DNA_synth_XOG_046	genotype profiling
buccal_mucosa_synth_XOP_047	DNA extraction	buccal_DNA_synth_XOG_047	genotype profiling
buccal_mucosa_synth_XOP_048	DNA extraction	buccal_DNA_synth_XOG_048	genotype profiling
buccal_mucosa_synth_XOP_049	DNA extraction	buccal_DNA_synth_XOG_049	genotype profiling
buccal_mucosa_synth_XOP_050	DNA extraction	buccal_DNA_synth_XOG_050	genotype profiling
buccal_mucosa_synth_XOP_051	DNA extraction	buccal_DNA_synth_XOG_051	genotype profiling
buccal_mucosa_synth_XOP_052	DNA extraction	buccal_DNA_synth_XOG_052	genotype profiling
buccal_mucosa_synth_XOP_053	DNA extraction	buccal_DNA_synth_XOG_053	genotype profiling
buccal_mucosa_synth_XOP_054	DNA extraction	buccal_DNA_synth_XOG_054	genotype profiling
buccal_mucosa_synth_XOP_055	DNA extraction	buccal_DNA_synth_XOG_055	genotype profiling
buccal_mucosa_synth_XOP_056	DNA extraction	buccal_DNA_synth_XOG_056	genotype profiling
buccal_mucosa_synth_XOP_057	DNA extraction	buccal_DNA_synth_XOG_057	genotype profiling
buccal_mucosa_synth_XOP_058	DNA extraction	buccal_DNA_synth_XOG_058	genotype profiling
buccal_mucosa_synth_XOP_059	DNA extraction	buccal_DNA_synth_XOG_059	genotype profiling
buccal_mucosa_synth_XOP_060	DNA extraction	buccal_DNA_synth_XOG_060	genotype profiling
buccal_mucosa_synth_XOP_061	DNA extraction	buccal_DNA_synth_XOG_061	genotype profiling
buccal_mucosa_synth_XOP_062	DNA extraction	buccal_DNA_synth_XOG_062	genotype profiling
buccal_mucosa_synth_XOP_063	DNA extraction	buccal_DNA_synth_XOG_063	genotype profiling
buccal_mucosa_synth_XOP_064	DNA extraction	buccal_DNA_synth_XOG_064	genotype profiling
buccal_mucosa_synth_XOP_065	DNA extraction	buccal_DNA_synth_XOG_065	genotype profiling
buccal_mucosa_synth_XOP_066	DNA extraction	buccal_DNA_synth_XOG_066	genotype profiling
buccal_mucosa_synth_XOP_067	DNA extraction	buccal_DNA_synth_XOG_067	genotype profiling
buccal_mucosa_synth_XOP_068	DNA extraction	buccal_DNA_synth_XOG_068	genotype profiling
buccal_mucosa_synth_XOP_069	DNA extraction	buccal_DNA_synth_XOG_069	genotype profiling
buccal_mucosa_synth_XOP_070	DNA extraction	buccal_DNA_synth_XOG_070	genotype profiling
buccal_mucosa_synth_XOP_071	DNA extraction	buccal_DNA_synth_XOG_071	genotype profiling
buccal_mucosa_synth_XOP_072	DNA extraction	buccal_DNA_synth_XOG_072	genotype profiling
buccal_mucosa_synth_XOP_073	DNA extraction	buccal_DNA_synth_XOG_073	genotype profiling
buccal_mucosa_synth_XOP_074	DNA extraction	buccal_DNA_synth_XOG_074	genotype profiling
buccal_mucosa_synth_XOP_075	DNA extraction	buccal_DNA_synth_XOG_075	genotype profiling
buccal_mucosa_synth_XOP_076	DNA extraction	buccal_DNA_synth_XOG_076	genotype profiling
buccal_mucosa_synth_XOP_077	DNA extraction	buccal_DNA_synth_XOG_077	genotype profiling
buccal_mucosa_synth_XOP_078	DNA extraction	buccal_DNA_synth_XOG_078	genotype profiling
buccal_mucosa_synth_XOP_079	DNA extraction	buccal_DNA_synth_XOG_079	genotype profiling
buccal_mucosa_synth_XOP_080	DNA extraction	buccal_DNA_synth_XOG_080	genotype profiling
buccal_mucosa_synth_XOP_081	DNA extraction	buccal_DNA_synth_XOG_081	genotype profiling
buccal_mucosa_synth_XOP_082	DNA extraction	buccal_DNA_synth_XOG_082	genotype profiling
buccal_mucosa_synth_XOP_083	DNA extraction	buccal_DNA_synth_XOG_083	genotype profiling
buccal_mucosa_synth_XOP_084	DNA extraction	buccal_DNA_synth_XOG_084	genotype profiling
buccal_mucosa_synth_XOP_085	DNA extraction	buccal_DNA_synth_XOG_085	genotype profiling
buccal_mucosa_synth_XOP_086	DNA extraction	buccal_DNA_synth_XOG_086	genotype profiling
buccal_mucosa_synth_XOP_087	DNA extraction	buccal_DNA_synth_XOG_087	genotype profiling
buccal_mucosa_synth_XOP_088	DNA extraction	buccal_DNA_synth_XOG_088	genotype profiling
buccal_mucosa_synth_XOP_089	DNA extraction	buccal_DNA_synth_XOG_089	genotype profiling
buccal_mucosa_synth_XOP_090	DNA extraction	buccal_DNA_synth_XOG_090	genotype profiling
buccal_mucosa_synth_XOP_091	DNA extraction	buccal_DNA_synth_XOG_091	genotype profiling
buccal_mucosa_synth_XOP_092	DNA extraction	buccal_DNA_synth_XOG_092	genotype profiling
buccal_mucosa_synth_XOP_093	DNA extraction	buccal_DNA_synth_XOG_093	genotype profiling
buccal_mucosa_synth_XOP_094	DNA extraction	buccal_DNA_synth_XOG_094	genotype profiling
buccal_mucosa_synth_XOP_095	DNA extraction	buccal_DNA_synth_XOG_095	genotype profiling
buccal_mucosa_synth_XOP_096	DNA extraction	buccal_DNA_synth_XOG_096	genotype profiling
buccal_mucosa_synth_XOP_097	DNA extraction	buccal_DNA_synth_XOG_097	genotype profiling
buccal_mucosa_synth_XOP_098	DNA extraction	buccal_DNA_synth_XOG_098	genotype profiling
buccal_mucosa_synth_XOP_099	DNA extraction	buccal_DNA_synth_XOG_099	genotype profiling
buccal_mucosa_synth_XOP_100	DNA extraction	buccal_DNA_synth_XOG_100	genotype profiling
